id,trail,section,difficulty,type,skill,question,correct,options,learningObjective,verseRef
"genesis-1-11-sem-gen-01-criador-01","genesis-1-11","gen-01-criador","semente","true_false","observe","O trecho afirma: No princípio, Deus criou os céus e a terra.","true","true:Verdadeiro | false:Falso","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-sem-gen-01-criador-02","genesis-1-11","gen-01-criador","semente","tap","observe","Em Gênesis 1:1–2, toque o trecho que menciona criação?","Deus criou os céus e a terra","a:Deus criou os céus e a terra | b:No princípio | c:estava sem forma e vazia","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-sem-gen-01-criador-03","genesis-1-11","gen-01-criador","semente","choice","observe","O que Deus criou no princípio, segundo Gênesis 1:1?","Os céus e a terra","a:Os céus e a terra | b:O jardim do Éden | c:O homem e a mulher | d:A luz e as trevas","Identificar o objeto da criação inicial.","Gênesis 1:1"
"genesis-1-11-sem-gen-01-criador-04","genesis-1-11","gen-01-criador","semente","order","observe","Qual a ordem dos fatos em Gênesis 1:1–2?","a → b → c","a:No princípio, Deus criou os céus e a terra | b:A terra, porém, estava sem forma e vazia | c:havia trevas sobre a face do abismo, e","Ordenar o fluxo de Gênesis 1:1–2.","Gênesis 1:1–2"
"genesis-1-11-sem-gen-01-criador-05","genesis-1-11","gen-01-criador","semente","complete","observe","Qual palavra o texto usa em Gênesis 1:1–2 ao falar de criação?","criou","a:criou | b:princípio | c:céus","Completar com precisão o texto de Gênesis 1:1–2.","Gênesis 1:1–2"
"genesis-1-11-sem-gen-01-criador-06","genesis-1-11","gen-01-criador","semente","connect","observe","Qual ideia une o trecho de Gênesis 1:1–2 ao insight da missão?","criação","a:criação | b:princípio | c:criou","Conectar Gênesis 1:1–2 ao restante da leitura.","Gênesis 1:1–2"
"genesis-1-11-cam-gen-01-criador-01","genesis-1-11","gen-01-criador","caminhada","true_false","understand","Em Gênesis 1:1–2, o relato comunica que antes de qualquer coisa existir, Deus já era.","true","true:Verdadeiro | false:Falso","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-cam-gen-01-criador-02","genesis-1-11","gen-01-criador","caminhada","tap","understand","Em Gênesis 1:1–2, qual trecho fala da criação?","Deus criou os céus e a terra","a:Deus criou os céus e a terra | b:No princípio | c:estava sem forma e vazia","Antes de qualquer coisa existir, Deus já era","Gênesis 1:1–2"
"genesis-1-11-cam-gen-01-criador-03","genesis-1-11","gen-01-criador","caminhada","choice","understand","O que o estado ""sem forma e vazia"" sugere no contexto do relato?","Terra ainda desordenada, pronta para ser moldada por Deus","a:Terra ainda desordenada, pronta para ser moldada por Deus | b:Terra eternamente maldita e irreparável | c:Prova de que Deus não criou a matéria primitiva | d:Metáfora de que a terra sempre existiu sozinha","Compreender o caos inicial como cenário da ação divina.","Gênesis 1:2"
"genesis-1-11-cam-gen-01-criador-04","genesis-1-11","gen-01-criador","caminhada","order","understand","Como se encadeiam os eventos de Gênesis 1:1–2?","a → b → c","a:No princípio, Deus criou os céus e a terra | b:A terra, porém, estava sem forma e vazia | c:havia trevas sobre a face do abismo, e","Ordenar o fluxo de Gênesis 1:1–2.","Gênesis 1:1–2"
